Employee_ID,Age,Department,Job_Role,Education,Monthly_Income_AED,Years_At_Company,Job_Satisfaction,Work_Life_Balance,OverTime,Distance_From_Home_km,Attrition
EMP0090,40,Operations,Manager,Bachelor,8041.0,4.5,4,1,No,26,No
EMP0091,36,Sales,Consultant,Bachelor,11960.0,7.6,1,2,No,5,No
EMP0092,37,Operations,Analyst,Bachelor,8864.0,4.8,2,1,Yes,10,Yes
EMP0093,39,Finance,Manager,Bachelor,8827.0,5.2,2,3,No,14,No
EMP0094,47,Sales,Developer,Master,11253.0,4.4,4,2,Yes,2,No
EMP0095,39,Operations,Executive,Bachelor,5350.0,2.3,1,1,No,20,No
EMP0096,54,Marketing,Developer,Bachelor,6660.0,1.1,2,1,No,16,Yes
EMP0097,39,IT,Analyst,Bachelor,7759.0,5.2,1,3,No,12,No
EMP0098,38,HR,Developer,Master,4506.0,1.3,1,4,Yes,14,Yes
EMP0099,48,Operations,Manager,Bachelor,3361.0,4.3,1,4,Yes,5,No
EMP0100,34,Finance,Analyst,Master,12228.0,9.5,2,4,No,5,No
EMP0101,52,Sales,Developer,Master,5963.0,4.1,3,2,Yes,21,No
EMP0102,39,IT,Executive,Bachelor,7367.0,0.9,2,2,No,22,No
EMP0103,39,HR,Executive,Bachelor,11779.0,4.2,1,1,No,10,Yes
EMP0104,38,IT,Manager,PhD,14934.0,9.9,2,3,No,13,No
EMP0105,22,IT,Manager,Master,8270.0,1.1,1,2,No,6,No
EMP0106,53,IT,Manager,Bachelor,9466.0,4.7,1,1,No,18,Yes
EMP0107,59,Sales,Manager,High School,11160.0,0.5,4,3,Yes,2,No
EMP0108,31,Finance,Consultant,Bachelor,6298.0,4.6,1,3,Yes,5,Yes
EMP0109,22,Operations,Consultant,Bachelor,10412.0,11.9,3,2,Yes,28,No
EMP0110,44,HR,Developer,Master,6675.0,0.7,2,4,No,21,No
EMP0111,54,Operations,Analyst,Bachelor,3754.0,1.5,4,4,No,15,No
EMP0112,24,Marketing,Analyst,Bachelor,15043.0,12.4,1,3,Yes,8,No
EMP0113,25,Finance,Developer,Bachelor,4261.0,1.1,4,1,Yes,19,Yes
EMP0114,53,Marketing,Manager,Bachelor,4218.0,6.6,2,4,No,2,No
EMP0115,57,Finance,Consultant,Bachelor,7043.0,4.2,1,3,No,15,No
EMP0116,49,Finance,Manager,Master,4452.0,1.3,3,1,No,16,No
EMP0117,40,Marketing,Manager,Bachelor,7377.0,7.9,1,2,No,13,No
EMP0118,35,Finance,Consultant,Bachelor,12436.0,3.2,2,2,No,27,No
EMP0119,51,IT,Developer,Bachelor,9153.0,9.1,1,3,No,17,No
EMP0120,33,Finance,Manager,Bachelor,8219.0,3.3,2,2,Yes,11,No
EMP0121,44,Marketing,Developer,Bachelor,8981.0,7.7,1,1,No,20,No
EMP0122,59,Finance,Analyst,Master,7428.0,2.6,3,3,No,8,No
EMP0123,33,HR,Analyst,Bachelor,12211.0,9.4,2,1,Yes,17,No
EMP0124,43,Operations,Consultant,Master,13520.0,7.9,1,2,Yes,9,No
EMP0125,55,Finance,Manager,Master,8822.0,3.2,4,2,No,3,No
EMP0126,53,Operations,Analyst,Bachelor,6129.0,0.7,1,1,Yes,1,Yes
EMP0127,46,Finance,Executive,Bachelor,11978.0,0.5,2,3,No,6,No
EMP0128,54,Sales,Analyst,PhD,12393.0,4.1,4,4,No,25,No
EMP0129,59,HR,Manager,PhD,11650.0,1.0,4,1,Yes,29,No
EMP0130,31,Operations,Consultant,PhD,12219.0,6.1,2,1,No,29,No
EMP0131,59,Sales,Analyst,Master,5685.0,0.5,2,2,No,5,No
EMP0132,48,HR,Analyst,Bachelor,6826.0,1.2,2,2,No,18,No
EMP0133,29,Sales,Executive,Bachelor,4919.0,0.5,1,2,Yes,27,No
EMP0134,30,Operations,Analyst,Master,5158.0,5.0,3,4,Yes,13,Yes
EMP0135,43,Finance,Consultant,Bachelor,7289.0,3.5,4,2,Yes,25,No
EMP0136,30,Sales,Analyst,Master,10086.0,10.6,4,1,Yes,23,No
EMP0137,50,Operations,Analyst,Master,12662.0,17.8,1,3,Yes,20,Yes
EMP0138,52,IT,Developer,High School,7428.0,1.0,1,4,Yes,12,Yes
EMP0139,47,HR,Manager,Bachelor,12217.0,4.5,2,3,No,23,No
EMP0140,47,Marketing,Developer,Bachelor,11564.0,10.8,2,4,No,20,No
EMP0141,36,Finance,Manager,Bachelor,6963.0,17.5,2,2,No,15,No
EMP0142,39,HR,Manager,Master,8736.0,10.1,4,2,No,22,No
EMP0143,43,Finance,Executive,PhD,8074.0,1.7,3,3,No,14,No
EMP0144,35,Finance,Manager,Bachelor,5504.0,11.2,4,1,No,22,No
EMP0145,55,Finance,Developer,High School,8241.0,2.0,4,2,Yes,27,Yes
EMP0146,26,Sales,Manager,Master,9476.0,5.1,3,2,No,12,No
EMP0147,45,Marketing,Developer,Bachelor,5929.0,6.0,2,4,No,14,No
EMP0148,52,HR,Manager,Master,9787.0,0.5,2,3,No,15,No
EMP0149,50,IT,Developer,PhD,6124.0,0.7,4,1,Yes,16,No
EMP0150,49,HR,Consultant,PhD,9583.0,2.1,4,2,No,7,No
EMP0151,31,Finance,Manager,Master,9785.0,1.1,4,3,Yes,29,No
EMP0152,29,IT,Analyst,Bachelor,7500.0,0.5,4,2,No,10,No
EMP0153,44,IT,Manager,Bachelor,13586.0,11.7,4,1,No,9,No
EMP0154,54,Operations,Manager,Bachelor,7208.0,1.6,2,1,No,9,Yes
EMP0155,25,HR,Developer,PhD,4318.0,3.6,4,3,Yes,28,No
EMP0156,31,Operations,Consultant,Bachelor,7177.0,2.2,3,1,No,6,No
EMP0157,34,IT,Developer,High School,3323.0,11.8,4,4,Yes,24,Yes
EMP0158,26,IT,Analyst,Bachelor,10688.0,13.4,1,3,No,6,No
EMP0159,52,Finance,Analyst,Bachelor,7262.0,1.7,4,2,No,16,Yes
EMP0160,28,Finance,Developer,Bachelor,12582.0,6.8,3,4,Yes,9,No
EMP0161,32,Operations,Manager,Bachelor,8342.0,2.6,3,3,Yes,8,No
EMP0162,52,IT,Developer,Master,7381.0,1.5,1,1,Yes,16,Yes
EMP0163,31,Marketing,Developer,Bachelor,7798.0,5.1,1,1,No,21,No
EMP0164,24,HR,Executive,High School,5862.0,0.5,4,2,No,8,No
EMP0165,23,Sales,Consultant,Bachelor,10075.0,4.0,3,3,No,4,No
EMP0166,35,Sales,Manager,Master,15538.0,16.8,3,4,No,4,No
EMP0167,33,Sales,Manager,Master,8789.0,5.8,2,1,No,11,No
EMP0168,27,Marketing,Analyst,Bachelor,6278.0,1.6,3,1,No,5,No
EMP0169,51,Marketing,Developer,Bachelor,7432.0,23.4,3,1,Yes,2,No
EMP0170,42,Operations,Developer,Master,4558.0,8.3,3,1,Yes,21,Yes
EMP0171,56,HR,Manager,Bachelor,11400.0,0.5,1,2,Yes,27,Yes
EMP0172,54,Sales,Developer,Bachelor,9648.0,7.0,2,4,Yes,19,Yes
EMP0173,52,IT,Consultant,PhD,7684.0,7.4,1,3,No,17,No
EMP0174,44,HR,Manager,Bachelor,6173.0,2.6,3,2,Yes,28,No
EMP0175,27,HR,Analyst,Bachelor,9088.0,7.5,1,2,Yes,10,No
EMP0176,40,Operations,Developer,Bachelor,4821.0,8.5,3,4,No,19,No
EMP0177,23,Operations,Analyst,Master,4737.0,0.7,3,4,No,14,Yes
EMP0178,35,HR,Executive,Bachelor,12838.0,0.5,2,2,No,9,No
EMP0179,40,HR,Executive,Bachelor,5426.0,9.0,2,3,No,28,No
EMP0180,49,HR,Consultant,Bachelor,4380.0,0.6,1,4,No,7,No
EMP0181,41,HR,Developer,Master,10617.0,6.2,4,2,Yes,28,No
EMP0182,59,Sales,Manager,Bachelor,7871.0,3.0,2,1,No,4,No
EMP0183,29,IT,Manager,Bachelor,8383.0,13.8,3,4,No,4,No
EMP0184,46,Finance,Consultant,High School,7168.0,3.3,4,3,No,10,No
EMP0185,37,Marketing,Executive,Master,9750.0,3.3,4,1,Yes,27,No
EMP0186,28,Marketing,Executive,Bachelor,5700.0,5.7,4,1,No,18,No
EMP0187,31,HR,Executive,Bachelor,8544.0,2.4,3,2,No,4,No
EMP0188,22,IT,Analyst,High School,6158.0,5.1,2,3,No,7,No
EMP0189,26,Operations,Consultant,Bachelor,13435.0,10.2,3,2,No,19,No
EMP0190,36,Sales,Developer,High School,4872.0,2.3,3,3,Yes,4,Yes
EMP0191,26,Operations,Manager,Bachelor,13355.0,0.5,4,2,No,4,No
EMP0192,28,Finance,Analyst,Master,9520.0,1.4,4,1,No,9,No
EMP0193,31,Sales,Consultant,Bachelor,4024.0,10.2,4,4,No,18,No
EMP0194,58,HR,Executive,PhD,3000.0,5.1,2,4,Yes,2,Yes
EMP0195,48,HR,Manager,Bachelor,7437.0,4.9,4,2,No,29,No
EMP0196,42,Finance,Executive,High School,7457.0,2.1,3,2,No,19,No
EMP0197,31,IT,Developer,Bachelor,14851.0,8.0,3,3,No,25,No
EMP0198,38,Operations,Executive,PhD,5390.0,1.8,1,4,Yes,17,Yes
EMP0199,33,Finance,Consultant,Master,4199.0,0.5,3,3,No,11,No
EMP0200,39,Marketing,Consultant,Master,5403.0,18.4,2,3,No,14,No
EMP0201,55,Operations,Analyst,Bachelor,14755.0,1.1,2,2,No,17,No
EMP0202,33,IT,Analyst,Master,9329.0,1.2,1,2,No,3,No
EMP0203,36,Sales,Consultant,Bachelor,9084.0,4.1,3,2,No,13,No
EMP0204,37,IT,Consultant,Bachelor,5972.0,2.1,3,2,No,10,No
EMP0205,43,HR,Executive,Bachelor,7404.0,6.5,4,2,No,1,No
EMP0206,27,Finance,Developer,Master,5479.0,5.4,2,3,Yes,24,No
EMP0207,35,Marketing,Developer,Master,13674.0,17.4,3,4,Yes,14,Yes
EMP0208,25,IT,Manager,Bachelor,13389.0,9.4,2,1,No,21,No
EMP0209,53,IT,Executive,Bachelor,8539.0,2.9,1,2,No,22,No
EMP0210,34,Finance,Manager,Bachelor,6829.0,10.0,2,3,No,18,No
EMP0211,45,Operations,Executive,Bachelor,4423.0,5.2,1,3,No,18,Yes
EMP0212,39,Operations,Executive,Master,6290.0,5.9,1,2,No,13,Yes
EMP0213,51,IT,Analyst,Bachelor,10364.0,17.2,2,3,Yes,21,No
EMP0214,27,Finance,Executive,Bachelor,7193.0,1.4,4,2,No,18,No
EMP0215,42,Finance,Manager,Bachelor,8936.0,7.7,4,1,No,23,No
EMP0216,27,IT,Analyst,Master,8409.0,5.1,1,4,No,7,No
EMP0217,28,IT,Manager,Bachelor,9602.0,5.5,1,1,Yes,7,No
EMP0218,38,IT,Manager,High School,11136.0,2.6,4,3,No,24,No
EMP0219,32,Operations,Developer,Bachelor,5685.0,0.7,4,2,No,29,No
EMP0220,26,HR,Executive,Bachelor,3412.0,9.1,2,3,No,27,No
EMP0221,44,Operations,Manager,Bachelor,14172.0,0.9,2,3,Yes,11,No
EMP0222,41,Finance,Analyst,Master,6731.0,4.8,3,4,Yes,19,No
EMP0223,43,HR,Consultant,Master,11481.0,3.7,2,3,No,28,No
EMP0224,31,IT,Manager,Master,7283.0,2.2,1,1,No,24,Yes
EMP0225,57,Operations,Developer,Master,5965.0,0.6,2,4,No,16,No
EMP0226,57,Operations,Analyst,High School,6515.0,5.5,4,3,No,24,No
EMP0227,33,Operations,Developer,Bachelor,6203.0,5.6,3,1,No,8,No
EMP0228,40,Marketing,Developer,High School,4644.0,7.4,2,2,Yes,5,No
EMP0229,41,Operations,Manager,Master,5340.0,1.4,1,3,Yes,8,No
EMP0230,39,IT,Executive,Bachelor,8936.0,10.6,4,1,No,8,No
EMP0231,32,HR,Executive,Bachelor,4478.0,1.7,4,3,Yes,28,No
EMP0232,58,IT,Consultant,Master,3000.0,6.0,3,1,Yes,3,Yes
EMP0233,22,Sales,Analyst,PhD,14726.0,4.3,4,1,No,28,Yes
EMP0234,52,Operations,Consultant,Bachelor,10028.0,2.5,3,2,Yes,25,Yes
EMP0235,43,Marketing,Manager,Master,8048.0,1.7,2,1,No,24,No
EMP0236,54,Finance,Consultant,Master,8658.0,1.1,2,4,No,14,No
EMP0237,39,Sales,Executive,High School,5956.0,5.5,2,2,No,27,No
EMP0238,35,Sales,Analyst,Bachelor,8957.0,8.6,1,4,Yes,9,Yes
EMP0239,25,Finance,Manager,Master,5576.0,1.9,2,4,No,6,No
EMP0240,53,IT,Executive,PhD,5003.0,1.7,4,2,No,7,No
EMP0241,54,Operations,Analyst,High School,7322.0,1.0,3,4,No,9,No
EMP0242,54,Operations,Executive,Bachelor,10039.0,9.4,2,1,Yes,28,Yes
EMP0243,59,Sales,Executive,Bachelor,7434.0,18.1,4,2,No,1,No
EMP0244,37,IT,Executive,Master,7010.0,1.2,4,4,Yes,6,No
EMP0245,42,Finance,Executive,High School,12121.0,3.5,2,3,No,3,No
EMP0246,53,Sales,Consultant,Master,3568.0,3.0,3,4,No,13,No
EMP0247,47,Finance,Consultant,Bachelor,4848.0,4.6,4,2,No,29,No
EMP0248,22,Finance,Developer,Master,4645.0,3.3,1,3,No,17,No
EMP0249,54,IT,Developer,High School,9021.0,1.8,4,4,No,14,No
EMP0250,47,Finance,Developer,Bachelor,6699.0,9.4,3,3,Yes,6,No
EMP0251,24,HR,Analyst,PhD,4486.0,1.7,2,1,No,13,No
EMP0252,52,HR,Executive,PhD,5032.0,1.9,2,4,No,12,No
EMP0253,39,HR,Analyst,PhD,8461.0,4.9,2,2,No,3,No
EMP0254,28,Marketing,Consultant,Master,6611.0,1.8,2,4,Yes,3,No
EMP0255,44,Finance,Developer,Bachelor,8189.0,1.7,3,3,No,22,No
EMP0256,51,Sales,Consultant,Master,10597.0,3.4,2,2,Yes,19,No
EMP0257,29,Sales,Developer,Bachelor,9288.0,5.2,2,1,No,24,No
EMP0258,50,HR,Developer,PhD,4529.0,3.6,1,4,No,8,No
EMP0259,41,Finance,Developer,Master,3000.0,7.3,2,4,Yes,16,No
EMP0260,22,Operations,Developer,High School,6777.0,1.1,3,3,No,9,Yes
EMP0261,29,Finance,Executive,Master,8755.0,3.5,1,4,No,14,No
EMP0262,51,Marketing,Consultant,Master,13524.0,10.7,2,3,Yes,6,No
EMP0263,45,IT,Developer,PhD,8604.0,3.4,3,1,Yes,10,Yes
EMP0264,38,Marketing,Developer,Master,9612.0,15.4,3,2,No,4,No
EMP0265,24,Marketing,Developer,Bachelor,5556.0,5.2,4,1,No,19,No
EMP0266,56,Sales,Developer,High School,6167.0,0.5,4,2,No,12,Yes
EMP0267,34,HR,Developer,Bachelor,9219.0,1.4,1,4,Yes,7,No
EMP0268,32,Sales,Executive,PhD,9396.0,4.7,3,2,Yes,12,No
EMP0269,37,Sales,Analyst,Bachelor,12182.0,3.6,1,1,No,21,No
EMP0270,54,IT,Manager,Bachelor,9766.0,7.1,4,3,Yes,11,No
EMP0271,27,Finance,Developer,Bachelor,9055.0,1.3,3,1,Yes,27,No
EMP0272,49,HR,Executive,Bachelor,7978.0,7.5,3,2,Yes,10,No
EMP0273,38,Finance,Consultant,Bachelor,8173.0,7.4,4,2,No,12,No
EMP0274,27,Operations,Consultant,Bachelor,9631.0,2.9,3,2,No,24,No
EMP0275,41,Marketing,Executive,Master,7028.0,6.1,2,1,No,22,No
EMP0276,33,HR,Developer,Bachelor,12567.0,15.8,1,1,No,26,No
EMP0277,29,HR,Analyst,PhD,4807.0,7.9,4,4,No,16,No
EMP0278,46,HR,Consultant,High School,7609.0,0.6,1,3,Yes,12,Yes
EMP0279,54,IT,Developer,Master,4034.0,8.6,3,1,No,11,No
EMP0280,49,Operations,Executive,High School,8491.0,5.0,1,1,No,14,Yes
EMP0281,22,IT,Executive,Bachelor,7131.0,0.5,1,4,Yes,10,No
EMP0282,48,Marketing,Executive,PhD,14653.0,2.4,3,3,No,26,No
EMP0283,31,Sales,Analyst,PhD,5839.0,24.3,3,3,No,20,No
EMP0284,49,HR,Consultant,Bachelor,8228.0,9.6,1,4,No,26,Yes
EMP0285,48,Sales,Developer,Bachelor,9212.0,0.5,2,2,No,8,No
EMP0286,45,Marketing,Consultant,Bachelor,10036.0,1.3,3,1,No,6,Yes
EMP0287,47,Operations,Executive,Master,5098.0,5.1,3,2,No,9,No
EMP0288,41,Operations,Manager,Bachelor,5452.0,0.5,4,2,No,7,No
EMP0289,55,Operations,Manager,Bachelor,10235.0,2.9,4,1,No,8,No
EMP0290,34,Marketing,Consultant,Master,6403.0,4.8,3,1,No,5,No
EMP0291,33,Marketing,Executive,Bachelor,14574.0,4.6,1,4,No,26,No
EMP0292,51,Operations,Consultant,Bachelor,9974.0,10.8,4,4,No,25,No
EMP0293,52,Operations,Executive,Bachelor,7174.0,3.7,4,2,No,23,No
EMP0294,53,Operations,Consultant,Master,8250.0,3.1,2,3,No,8,No
EMP0295,50,IT,Consultant,PhD,7916.0,1.9,3,1,Yes,3,Yes
EMP0296,59,Marketing,Analyst,Bachelor,8065.0,3.0,4,4,Yes,19,No
EMP0297,37,Marketing,Executive,High School,8058.0,1.1,3,1,No,12,No
EMP0298,42,Finance,Developer,Bachelor,10428.0,0.7,2,1,Yes,28,Yes
EMP0299,43,Marketing,Analyst,High School,11236.0,0.5,1,4,No,6,No
EMP0300,42,Sales,Executive,Master,13254.0,1.7,3,2,Yes,1,No
EMP0301,57,Marketing,Developer,Master,12310.0,8.5,2,1,No,14,No
EMP0302,52,Sales,Executive,Bachelor,4294.0,0.5,4,1,Yes,9,Yes
EMP0303,42,Finance,Executive,Bachelor,10112.0,5.9,3,3,No,1,No
EMP0304,42,Operations,Developer,Master,11847.0,13.3,3,3,No,5,No
EMP0305,55,Finance,Executive,Bachelor,8332.0,8.8,4,2,No,3,No
EMP0306,24,Operations,Manager,Bachelor,8835.0,5.9,2,1,No,3,No
EMP0307,55,Marketing,Executive,Master,7205.0,3.5,2,2,Yes,2,No
EMP0308,55,Operations,Consultant,Bachelor,9297.0,4.2,3,3,No,23,No
EMP0309,56,Operations,Manager,Bachelor,7733.0,3.6,2,4,Yes,21,Yes
EMP0310,34,HR,Consultant,High School,8205.0,1.7,3,3,Yes,27,No
EMP0311,40,Marketing,Consultant,Bachelor,9814.0,3.4,4,3,No,17,No
EMP0312,35,Marketing,Executive,Bachelor,10994.0,1.8,1,3,Yes,19,No
EMP0313,24,HR,Developer,High School,11104.0,12.6,2,2,Yes,26,No
EMP0314,59,HR,Analyst,Bachelor,10134.0,2.3,1,4,No,21,Yes
EMP0315,53,Sales,Analyst,Master,7919.0,1.7,4,3,No,13,Yes
EMP0316,39,Sales,Analyst,Bachelor,9382.0,4.1,1,2,No,5,No
EMP0317,45,Marketing,Executive,Bachelor,9494.0,3.0,3,3,No,15,No
EMP0318,39,Marketing,Executive,High School,9735.0,4.4,4,4,Yes,18,No
EMP0319,55,Sales,Consultant,High School,6465.0,2.8,1,3,Yes,19,Yes
EMP0320,32,Marketing,Consultant,Bachelor,4785.0,5.1,2,4,No,18,No
EMP0321,37,Operations,Executive,Bachelor,6906.0,0.5,4,2,Yes,29,Yes
EMP0322,37,HR,Executive,Bachelor,7574.0,9.8,4,1,No,16,No
EMP0323,38,Marketing,Developer,Bachelor,5084.0,4.8,2,1,No,21,Yes
EMP0324,48,Operations,Analyst,Bachelor,7693.0,3.7,2,2,Yes,27,Yes
EMP0325,24,Operations,Developer,High School,7927.0,1.5,3,2,No,16,No
EMP0326,28,Operations,Developer,Bachelor,11086.0,3.8,3,1,No,2,No
EMP0327,55,IT,Manager,PhD,6244.0,2.0,3,1,No,1,No
EMP0328,27,Operations,Consultant,Bachelor,12303.0,1.8,2,1,No,26,Yes
EMP0329,30,Finance,Analyst,Bachelor,3853.0,0.5,4,4,No,14,No
EMP0330,51,Operations,Consultant,Bachelor,13077.0,2.4,2,1,Yes,3,No
EMP0331,41,Sales,Consultant,Bachelor,11378.0,4.4,2,1,Yes,21,No
EMP0332,47,Sales,Manager,Bachelor,9348.0,17.1,3,1,No,26,No
EMP0333,37,Sales,Analyst,Bachelor,8810.0,2.9,4,3,No,23,No
EMP0334,57,Operations,Executive,Bachelor,7947.0,5.8,1,3,No,21,No
EMP0335,54,Sales,Analyst,Master,10667.0,3.7,2,2,No,20,No
EMP0336,40,HR,Analyst,PhD,16048.0,1.0,3,4,No,5,No
EMP0337,48,Marketing,Analyst,Bachelor,8642.0,0.6,1,4,Yes,6,Yes
EMP0338,48,IT,Developer,PhD,11422.0,0.7,1,1,Yes,29,Yes
